iter	MAE
136	0.3866156111
137	0.3865123063
138	0.3863048291
139	0.386184351
140	0.3860919233
141	0.385991484
142	0.3859896892
143	0.3858121094
144	0.3856910836
145	0.3856806832
146	0.3855585657
147	0.3854578684
148	0.3853943406
149	0.3853321298
150	0.3852628267
151	0.3851907319
152	0.3851466233
153	0.3850708922
154	0.3849604222
155	0.3848625894
156	0.3848515233
157	0.3846961533
158	0.3846008444
159	0.3845927472
160	0.3845522566
161	0.3843517437
162	0.3842805088
163	0.3842717801
164	0.3841393414
165	0.3838928311
166	0.3836561764
167	0.3835799437
168	0.3834297901
169	0.383385637
170	0.383251068
171	0.383146755
172	0.3830742214
173	0.3829702242
174	0.3828395248
175	0.3826036944
176	0.3825209234
177	0.3824581399
178	0.3823777072
179	0.3823389455
180	0.3822220957
181	0.3821634052
182	0.3820800901
183	0.3820356035
184	0.3819674225
185	0.3818861426
186	0.3817753884
187	0.3816825115
188	0.3813876829
189	0.3812218373
190	0.380906311
191	0.38067606
192	0.3805779093
193	0.3804151314
194	0.3802433572
195	0.3801388973
196	0.3800390394
197	0.379880066
198	0.3797555373
199	0.3796848702
200	0.379611907
201	0.3793822516
202	0.3792881241
203	0.3791975526
204	0.3790103584
205	0.3789304879
206	0.3788963262
207	0.3788422525
208	0.3787647504
209	0.3786856719
210	0.378600514
211	0.3785542939
212	0.3785090747
213	0.3784382642
214	0.3781664889
215	0.3780719049
216	0.3779490129
217	0.3776968516
218	0.3775500809
219	0.3775023449
220	0.3774127915
221	0.377255303
222	0.3771244657
223	0.3770053011
224	0.3769374477
225	0.3768605223
226	0.3768018021
227	0.3766298023
228	0.3765830079
229	0.3764940287
230	0.3764200328
231	0.3762074062
232	0.3760214219
233	0.3758713631
234	0.3757442355
235	0.3756122837
236	0.3754456778
237	0.375232616
238	0.3749696132
239	0.3749068173
240	0.3748564239
241	0.3746644382
242	0.3745636477
243	0.3744323646
244	0.3742536071
245	0.37411293
246	0.37393163
247	0.3739179373
248	0.3738954455
249	0.3737739566
250	0.3736635978
251	0.3736174355
252	0.373542921
253	0.3734078636
254	0.3733298366
255	0.3732809388
256	0.3731062059
257	0.3729283129
258	0.3728710143
259	0.3728035149
260	0.3727140429
261	0.3726011358
262	0.3725034259
263	0.3724363012
264	0.3723762621
265	0.3722231998
266	0.3721483625
267	0.3720158314
268	0.3717362431
269	0.3716485007
270	0.3714379324
271	0.3713455847
272	0.3712207063
273	0.3709751937
274	0.3709666642
275	0.3708261939
276	0.3707491008
277	0.3706849858
278	0.370597468
279	0.3705478069
280	0.3704366375
281	0.3703341042
282	0.370145848
283	0.3699296264
284	0.3698685161
285	0.3698379186
286	0.3698104628
287	0.3696194216
288	0.3695621229
289	0.3694616919
290	0.3693299945
291	0.369179101
292	0.3690503023
293	0.3689989307
294	0.368950994
295	0.36887286
296	0.3688392344
297	0.3687921296
298	0.368592766
299	0.3684132684
300	0.3683077041
301	0.3682681527
302	0.3680114414
303	0.3679344467
304	0.3678478573
305	0.3678156877
306	0.3677176391
307	0.367661809
308	0.3675644459
309	0.3674674076
310	0.3673726692
311	0.3673290889
312	0.3672000322
313	0.3670600166
314	0.3668233569
315	0.366445576
316	0.3663724583
317	0.3663246933
318	0.3662450823
319	0.3661967509
320	0.3660056083
321	0.3659610726
322	0.3658836776
323	0.3658203654
324	0.3656924268
325	0.3656047824
326	0.3654676784
327	0.3653642279
328	0.3653180922
329	0.3651242387
330	0.3650673093
331	0.3649902041
332	0.3649433422
333	0.3648358546
334	0.3647941004
335	0.3647366259
336	0.3646997313
337	0.364615491
338	0.3645472163
339	0.3644872213
340	0.3644260697
341	0.3642989438
342	0.3642618073
343	0.3641308326
344	0.3640592876
345	0.3640374095
346	0.3640180069
347	0.3638628152
348	0.3637761537
349	0.3635149919
350	0.3634908175
351	0.363348135
352	0.3633192875
353	0.3631157904
354	0.3628501304
355	0.3628408306
356	0.3627253211
357	0.3626414813
358	0.3625876544
359	0.3625675626
360	0.3625490125
361	0.362488071
362	0.3624450064
363	0.3623128074
364	0.362206338
365	0.3621804694
366	0.3621502652
367	0.3619977917
368	0.3618375999
369	0.3617865479
370	0.3617388534
371	0.3616880062
372	0.3615621475
373	0.3615052736
374	0.3614663538
375	0.3613175629
376	0.3612692468
377	0.3612404926
378	0.3612296229
379	0.3611175694
380	0.3610670867
381	0.3609644157
382	0.3608762576
383	0.3608254726
384	0.3607750971
385	0.360703346
386	0.360600316
387	0.3605785784
388	0.360551768
389	0.3604955493
390	0.3602636407
391	0.360179195
392	0.3601063699
393	0.3600367078
394	0.3600133079
395	0.3599442039
396	0.3599042802
397	0.359826352
398	0.3597540281
399	0.3596584749
400	0.3595740611
401	0.359524374
402	0.3594972398
403	0.3594741935
404	0.359455147
405	0.3593847639
406	0.3593491834
407	0.35932593
408	0.3592488761
409	0.3591854404
410	0.3591757554
411	0.3591721185
412	0.3591514547
413	0.3590945007
414	0.3590486847
415	0.359020655
416	0.3590137331
417	0.3589729701
418	0.3589538649
419	0.3589243029
420	0.358780615
421	0.3587407821
422	0.3586984159
423	0.3586228294
424	0.358570048
425	0.3584937126
426	0.358433355
427	0.3583878917
428	0.3583606781
429	0.358288718
430	0.3582585888
431	0.3582110327
432	0.3581051692
433	0.35804284
434	0.3579926908
435	0.3579333432
436	0.3578945554
437	0.3578178178
438	0.3578069788
439	0.3577819541
440	0.3577399902
441	0.3577054618
442	0.3576573959
443	0.3576270193
444	0.3575864479
445	0.3575355266
446	0.3574947619
447	0.3574603449
448	0.3574469579
449	0.3574059681
450	0.3573334846
451	0.3573083083
452	0.3572325196
453	0.3571976112
454	0.3571804405
455	0.3571201479
456	0.3570936313
457	0.356987447
458	0.356831448
459	0.3567734234
460	0.3567069584
461	0.3566399809
462	0.3565856418
463	0.3565763694
464	0.3564071158
465	0.356336696
466	0.3562760737
467	0.3562640748
468	0.3562546788
469	0.3562420792
470	0.3562253695
471	0.3561196524
472	0.3560911304
473	0.3560716679
474	0.3560331565
475	0.3560122232
476	0.3559643246
477	0.3559287996
478	0.3558910316
479	0.355871317
480	0.3558530719
481	0.3558423664
482	0.355824593
483	0.355784635
484	0.3557815169
485	0.3557366587
486	0.3557180184
487	0.3556847937
488	0.355612999
489	0.3555545032
490	0.3555330704
491	0.3555037326
492	0.3554800558
493	0.355424433
494	0.3554059189
495	0.3553555287
496	0.3553160341
497	0.3552800453
498	0.3552029742
499	0.3551831609
500	0.3551022845
501	0.354974285
502	0.3549562895
503	0.3549481987
504	0.3549128931
505	0.354910772
506	0.3549020109
507	0.3548737832
508	0.3548187648
509	0.3547909549
510	0.3547436694
511	0.3546800109
512	0.3546383808
513	0.3545920707
514	0.3545385736
515	0.3545362373
516	0.3544478056
517	0.3544213052
518	0.3543852497
519	0.3543482429
520	0.3542728536
521	0.3542516699
522	0.3541787364
523	0.3541480202
524	0.3541007859
525	0.3540872814
526	0.354049647
527	0.3539688184
528	0.3539022555
529	0.3538118368
530	0.353795958
531	0.3537705622
532	0.353768535
533	0.3537507745
534	0.3536821436
535	0.3536674059
536	0.3536388115
537	0.3536245586
538	0.3535489343
539	0.3534903629
540	0.3534529463
541	0.353440931
542	0.3533540294
543	0.3533249634
544	0.3533213723
545	0.3532809145
546	0.3532522231
547	0.3531934679
548	0.3531786748
549	0.3531347874
550	0.3530182956
551	0.3529259355
552	0.352916669
553	0.3528759962
554	0.3528694995
555	0.3528474118
556	0.3527228119
557	0.3526630451
558	0.352605152
559	0.352563556
560	0.3525027563
561	0.352459234
562	0.3524439877
563	0.3524000193
564	0.3523515061
565	0.3522955737
566	0.3522073393
567	0.3521860695
568	0.3521451928
569	0.3521265082
570	0.3521061119
571	0.3520678367
572	0.3520474997
573	0.3520221466
574	0.3519270545
575	0.3518676683
576	0.3518399605
577	0.3518283898
578	0.3517746136
579	0.3517452184
580	0.3517008973
581	0.3516276366
582	0.3516180598
583	0.3515837516
584	0.3515634352
585	0.3515212777
586	0.3515012194
587	0.3514031587
588	0.351397949
589	0.3513250782
590	0.3513142539
591	0.3512893952
592	0.3512681867
593	0.3512637229
594	0.3512290063
595	0.3512152963
596	0.3511590712
597	0.3510995805
598	0.3510498536
599	0.3510198865
600	0.3509931903
601	0.3509818129
602	0.3509227314
603	0.3508758567
604	0.3507639239
605	0.3507343225
606	0.3507307829
607	0.3506850017
608	0.3506549155
609	0.350634734
610	0.3505550866
611	0.3504447437
612	0.3503998098
613	0.3503517992
614	0.3503358807
615	0.3503052036
616	0.3502106616
617	0.350170367
618	0.3501321285
619	0.3501043159
620	0.3499510766
621	0.3499354623
622	0.3499134906
623	0.3498905632
624	0.3498570932
625	0.3497775602
626	0.3497683628
627	0.3497285358
628	0.3497205056
629	0.3496119118
630	0.3495835515
631	0.3495798744
632	0.3495778259
633	0.3494889619
634	0.3494438235
635	0.3493473593
636	0.3492725113
637	0.3492530116
638	0.3492464109
639	0.3492447012
640	0.3492286618
641	0.3492130379
642	0.349129205
643	0.3490912848
644	0.3490900836
645	0.3490414542
646	0.3490350433
647	0.3490234355
648	0.3489711959
649	0.3488990182
650	0.3488926813
651	0.3488196997
652	0.3488015297
653	0.3487967212
654	0.3487721356
655	0.3487613484
656	0.3487029416
657	0.3486903741
658	0.3485912531
659	0.3485783727
660	0.34856361
661	0.3485590448
662	0.3484758379
663	0.3484100556
664	0.3483486954
665	0.3482504485
666	0.3482293121
667	0.3482148777
668	0.3481781719
669	0.3481503405
670	0.3481376287
671	0.348003458
672	0.3479639606
673	0.3479507455
674	0.3479200874
675	0.3478898204
676	0.3478516895
677	0.3478236784
678	0.3478182228
679	0.3478010589
680	0.3477762586
681	0.3477648386
682	0.3477362401
683	0.3477183456
684	0.3477070078
685	0.3476951612
686	0.3476189204
687	0.3476043856
688	0.3475959021
689	0.3475846108
690	0.3475168911
691	0.3474426017
692	0.3474345794
693	0.3474295301
694	0.3474006713
695	0.3473745404
696	0.3473195826
697	0.3473085134
698	0.3473007568
699	0.3472985887
700	0.3472922643
701	0.3472505078
702	0.3472404779
703	0.3472330947
704	0.3472001727
705	0.3471528865
706	0.3470779317
707	0.3470676295
708	0.3469708568
709	0.3469611201
710	0.3469286063
711	0.3469235922
712	0.3468881746
713	0.3468728386
714	0.3468511922
715	0.3468303012
716	0.3468219503
717	0.3468147534
718	0.3468037633
719	0.3467961618
720	0.3467090646
721	0.3466974068
722	0.3466949095
723	0.3466821304
724	0.3466227576
725	0.3465907463
726	0.3465667384
727	0.3465407135
728	0.3464579891
729	0.3464565681
730	0.3464299234
731	0.3463902925
732	0.3463710194
733	0.3463242981
734	0.3462863291
735	0.3462174945
736	0.3461929441
737	0.3461539495
738	0.3461391924
739	0.346085
740	0.3460300334
741	0.3459810924
742	0.3459486375
743	0.3459241378
744	0.3458355966
745	0.3458003666
746	0.3457961421
747	0.3457198906
748	0.3456700356
749	0.345661131
750	0.3456563149
751	0.3456416892
752	0.3455685558
753	0.3455016801
754	0.3454610481
755	0.3454533321
756	0.3453353658
757	0.3453345364
758	0.3452593588
759	0.3452384349
760	0.3452235055
761	0.3452106019
762	0.345193516
763	0.345184523
764	0.3451789251
765	0.345174859
766	0.3451648077
767	0.3451169099
768	0.3451016504
769	0.3450801454
770	0.3450697654
771	0.3450572116
772	0.3450523327
773	0.3450494388
774	0.3450323498
775	0.3450038458
776	0.3449535506
777	0.3448888949
778	0.3448373845
779	0.3448245679
780	0.3448025961
781	0.3447956445
782	0.3447752728
783	0.3447384084
784	0.3447183563
785	0.3446505243
786	0.3446176397
787	0.3446061578
788	0.3445881551
789	0.3444359556
790	0.3444234971
791	0.3443761435
792	0.3443669972
793	0.3443661567
794	0.3443484702
795	0.3443425453
796	0.3443336039
797	0.3442180976
798	0.3442002984
799	0.3441317195
800	0.344091149
801	0.3440340619
802	0.3439968469
803	0.3439475901
804	0.3438917438
805	0.3438231372
806	0.3437653742
807	0.343743273
808	0.3437363747
809	0.3437230911
810	0.3436610432
811	0.3436074733
812	0.3435735133
813	0.3435579357
814	0.3435439349
815	0.3434956747
816	0.3434493473
817	0.3434394903
818	0.3434189465
819	0.3433532813
820	0.3433382513
821	0.3433223662
822	0.3433152736
823	0.34327401
824	0.343273449
825	0.3431730328
826	0.3431650133
827	0.3431184921
828	0.3430909711
829	0.343054637
830	0.3430479747
831	0.3430416191
832	0.3430113417
833	0.3429953252
834	0.3429696889
835	0.3429629046
836	0.3428022302
837	0.3427685558
838	0.3427572283
839	0.3427396634
840	0.3426890725
841	0.3426452003
842	0.3426238265
843	0.3426192504
844	0.3426097183
845	0.3425757613
846	0.3425552826
847	0.3425478433
848	0.3425204086
849	0.3425146053
850	0.3424985686
851	0.3424856041
852	0.3424594966
853	0.3424385973
854	0.342393589
855	0.342341508
856	0.3423274122
857	0.3423128879
858	0.3422765895
859	0.3422531729
860	0.342221725
861	0.3422113224
862	0.3422075608
863	0.3421484252
864	0.3421353836
865	0.3421063618
866	0.3420904787
867	0.3420571967
868	0.3420434824
869	0.3420230708
870	0.3419457023
871	0.3419246073
872	0.3419105618
873	0.3419000952
874	0.3418676125
875	0.3418332456
876	0.3418083432
877	0.3417836399
878	0.3417648946
879	0.3417572825
880	0.3417234637
881	0.3417177614
882	0.3416854651
883	0.3416005224
884	0.3415881304
885	0.3415711926
886	0.3415122916
887	0.3415080708
888	0.3415064442
889	0.3415040339
890	0.3414730453
891	0.3414464276
892	0.3414099891
893	0.3413748907
894	0.3413710592
895	0.3413128417
896	0.341299328
897	0.341223111
898	0.3412028136
899	0.3410861162
900	0.341077235
901	0.3410688629
902	0.341007471
903	0.3409776067
904	0.3409731576
905	0.3409592201
906	0.3409389627
907	0.3409349638
908	0.3409107556
909	0.3408881861
910	0.3408751507
911	0.3408436492
912	0.3408324488
913	0.3407974221
914	0.3406977037
915	0.3406853397
916	0.3406628406
917	0.3406600028
918	0.3406241423
919	0.3406060524
920	0.3405973559
921	0.3405356593
922	0.3404949533
923	0.340476183
924	0.340471073
925	0.3404618261
926	0.3404410216
927	0.3404376082
928	0.3404176489
929	0.3403107791
930	0.3402653571
931	0.34023658
932	0.3401847978
933	0.3401600761
934	0.3401226238
935	0.3400890836
936	0.3400839118
937	0.3400606931
938	0.3400354885
939	0.340022387
940	0.3399795232
941	0.3399606812
942	0.3399572893
943	0.3399332268
944	0.3398827952
945	0.3398785517
946	0.3398404495
947	0.3398188495
948	0.3398164999
949	0.3397895318
950	0.3397149117
951	0.3396875506
952	0.3396775635
953	0.3396639442
954	0.3396456114
955	0.3396332882
956	0.3396019592
957	0.3395829825
958	0.339544031
959	0.3395248749
960	0.3395174381
961	0.3394999576
962	0.3394217777
963	0.3393370035
964	0.3392121696
965	0.339177044
966	0.3391628264
967	0.3390897486
968	0.3390580609
969	0.3389924206
970	0.3389810584
971	0.3389678213
972	0.3388984857
973	0.3388859797
974	0.3388844583
975	0.3388782096
976	0.3387424872
977	0.338680146
978	0.3386786476
979	0.3386655765
980	0.3386597885
981	0.3386465523
982	0.3386126077
983	0.3385972707
984	0.3385788941
985	0.3385700852
986	0.3385495367
987	0.3385419148
988	0.3385164147
989	0.3385147387
990	0.3384425219
991	0.3384212059
992	0.3383414165
993	0.3383112158
994	0.3382760335
995	0.3382664027
996	0.338233021
997	0.3381743884
998	0.3380793146
999	0.3380712691
